Date : 2026-05-12 13:41:09
Directory : z:\Projects\mstender
Total : 242 files,  49064 codes, 2203 comments, 4163 blanks, all 55430 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| backend\resources\css                                                                                      |          1 |          9 |          0 |          3 |         12 |
| backend\resources\js                                                                                       |          2 |          4 |          0 |          3 |          7 |
| backend\resources\views                                                                                    |          1 |        270 |          0 |          8 |        278 |
| backend\routes                                                                                             |          3 |        182 |         85 |         49 |        316 |
| backend\tests                                                                                              |          3 |         27 |          8 |         13 |         48 |
| backend\tests (Files)                                                                                      |          1 |          6 |          1 |          4 |         11 |
| backend\tests\Feature                                                                                      |          1 |         11 |          4 |          5 |         20 |
| backend\tests\Unit                                                                                         |          1 |         10 |          3 |          4 |         17 |
| backend\vendor                                                                                             |          2 |         34 |          2 |          9 |         45 |
| backend\vendor\brick                                                                                       |          2 |         34 |          2 |          9 |         45 |
| backend\vendor\brick\math                                                                                  |          2 |         34 |          2 |          9 |         45 |
| backend\vendor\brick\math\tools                                                                            |          2 |         34 |          2 |          9 |         45 |
| backend\vendor\brick\math\tools\ecs                                                                        |          2 |         34 |          2 |          9 |         45 |
| frontend                                                                                                   |        128 |     33,226 |        896 |      2,213 |     36,335 |
| frontend (Files)                                                                                           |          4 |     19,115 |          1 |         45 |     19,161 |
| frontend\public                                                                                            |          2 |         65 |          0 |          5 |         70 |
| frontend\src                                                                                               |        122 |     14,046 |        895 |      2,163 |     17,104 |
| frontend\src (Files)                                                                                       |          8 |        253 |         32 |         64 |        349 |
| frontend\src\assets                                                                                        |          6 |         95 |          0 |          6 |        101 |
| frontend\src\assets\SVG                                                                                    |          6 |         95 |          0 |          6 |        101 |
| frontend\src\common                                                                                        |          2 |         27 |          2 |          4 |         33 |
| frontend\src\common (Files)                                                                                |          1 |         22 |          2 |          3 |         27 |
| frontend\src\common\UI                                                                                     |          1 |          5 |          0 |          1 |          6 |
| frontend\src\components                                                                                    |         45 |      2,157 |        155 |        362 |      2,674 |
| frontend\src\components\elements                                                                           |          8 |        627 |         40 |         84 |        751 |
| frontend\src\components\layout                                                                             |          4 |        291 |         64 |         64 |        419 |
| frontend\src\components\notifications                                                                      |          1 |         16 |          1 |          3 |         20 |
| frontend\src\components\tables                                                                             |         28 |        742 |         37 |        100 |        879 |
| frontend\src\components\widgets                                                                            |          4 |        481 |         13 |        111 |        605 |
| frontend\src\context                                                                                       |          1 |         81 |          0 |         12 |         93 |
| frontend\src\data                                                                                          |          4 |        229 |          7 |         24 |        260 |
| frontend\src\database                                                                                      |          3 |         77 |          3 |         18 |         98 |
| frontend\src\middleware                                                                                    |          1 |          8 |          4 |          4 |         16 |
| frontend\src\pages                                                                                         |         42 |     10,550 |        635 |      1,513 |     12,698 |
| frontend\src\pages\auth                                                                                    |          5 |        283 |          4 |         40 |        327 |
| frontend\src\pages\banks                                                                                   |          4 |        772 |         51 |         75 |        898 |
| frontend\src\pages\customers                                                                               |          3 |        886 |         78 |         98 |      1,062 |
| frontend\src\pages\dashboard                                                                               |          3 |        176 |          5 |         17 |        198 |
| frontend\src\pages\employees                                                                               |          5 |      1,640 |        118 |        164 |      1,922 |
| frontend\src\pages\forms                                                                                   |          1 |        447 |         37 |         41 |        525 |
| frontend\src\pages\invoices                                                                                |          4 |      1,371 |         98 |        182 |      1,651 |
| frontend\src\pages\leads                                                                                   |          6 |      2,659 |         88 |        525 |      3,272 |
| frontend\src\pages\notifications                                                                           |          1 |        103 |          2 |         10 |        115 |
| frontend\src\pages\others                                                                                  |          4 |        756 |         55 |        196 |      1,007 |
| frontend\src\pages\taxes                                                                                   |          3 |        725 |         50 |         64 |        839 |
| frontend\src\pages\transactions                                                                            |          3 |        732 |         49 |        101 |        882 |
| frontend\src\popups                                                                                        |          3 |        479 |         43 |        118 |        640 |
| frontend\src\popups (Files)                                                                                |          1 |        316 |         41 |        104 |        461 |
| frontend\src\popups\Delete                                                                                 |          1 |         72 |          2 |          7 |         81 |
| frontend\src\popups\Edit                                                                                   |          1 |         91 |          0 |          7 |         98 |
| frontend\src\utils                                                                                         |          7 |         90 |         14 |         38 |        142 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                   | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| z:\Projects\mstender\README.md                                                                             | Markdown       |          2 |          0 |          1 |          3 |
| z:\Projects\mstender\backend\.github\workflows\issues.yml                                                  | YAML           |          9 |          0 |          4 |         13 |
| z:\Projects\mstender\backend\.github\workflows\pull-requests.yml                                           | YAML           |          9 |          0 |          4 |         13 |
| z:\Projects\mstender\backend\.github\workflows\tests.yml                                                   | YAML           |         36 |          0 |         12 |         48 |
| z:\Projects\mstender\backend\.github\workflows\update-changelog.yml                                        | YAML           |         10 |          0 |          4 |         14 |
| z:\Projects\mstender\backend\.styleci.yml                                                                  | YAML           |          9 |          0 |          1 |         10 |
| z:\Projects\mstender\backend\CHANGELOG.md                                                                  | Markdown       |         96 |          0 |         64 |        160 |
| z:\Projects\mstender\backend\README.md                                                                     | Markdown       |         39 |          0 |         21 |         60 |
| z:\Projects\mstender\backend\app\Exports\InvoicesBulkExport.php                                            | PHP            |         26 |          0 |         14 |         40 |
| z:\Projects\mstender\backend\app\Http\Controllers\AuthController.php                                       | PHP            |         95 |         23 |         28 |        146 |
| z:\Projects\mstender\backend\app\Http\Controllers\BankController.php                                       | PHP            |        254 |         41 |         87 |        382 |
| z:\Projects\mstender\backend\app\Http\Controllers\Controller.php                                           | PHP            |          5 |          1 |          3 |          9 |
| z:\Projects\mstender\backend\app\Http\Controllers\CustomerController.php                                   | PHP            |        273 |         26 |        101 |        400 |
| z:\Projects\mstender\backend\app\Http\Controllers\DashboardController.php                                  | PHP            |        242 |         30 |         58 |        330 |
| z:\Projects\mstender\backend\app\Http\Controllers\EmployeeController.php                                   | PHP            |        721 |         58 |        268 |      1,047 |
| z:\Projects\mstender\backend\app\Http\Controllers\InvoiceController.php                                    | PHP            |        486 |         63 |        181 |        730 |
| z:\Projects\mstender\backend\app\Http\Controllers\InvoiceItemController.php                                | PHP            |          7 |          1 |          4 |         12 |
| z:\Projects\mstender\backend\app\Http\Controllers\LeadActivityController.php                               | PHP            |         22 |         20 |          8 |         50 |
| z:\Projects\mstender\backend\app\Http\Controllers\LeadController.php                                       | PHP            |        136 |          0 |         38 |        174 |
| z:\Projects\mstender\backend\app\Http\Controllers\LeadCustomValueController.php                            | PHP            |         22 |         20 |          8 |         50 |
| z:\Projects\mstender\backend\app\Http\Controllers\NotificationController.php                               | PHP            |         43 |          0 |         17 |         60 |
| z:\Projects\mstender\backend\app\Http\Controllers\PipelineController.php                                   | PHP            |         44 |          0 |         12 |         56 |
| z:\Projects\mstender\backend\app\Http\Controllers\PipelineStageController.php                              | PHP            |         58 |          0 |         14 |         72 |
| z:\Projects\mstender\backend\app\Http\Controllers\TaxController.php                                        | PHP            |        208 |         31 |         61 |        300 |
| z:\Projects\mstender\backend\app\Http\Controllers\TransactionController.php                                | PHP            |        518 |         54 |        194 |        766 |
| z:\Projects\mstender\backend\app\Http\Middlewares\CheckIfUserIsBanned.php                                  | PHP            |         22 |          6 |          7 |         35 |
| z:\Projects\mstender\backend\app\Models\Bank.php                                                           | PHP            |         38 |          0 |          9 |         47 |
| z:\Projects\mstender\backend\app\Models\Customer.php                                                       | PHP            |         66 |         23 |         18 |        107 |
| z:\Projects\mstender\backend\app\Models\Invoice.php                                                        | PHP            |         46 |          0 |         10 |         56 |
| z:\Projects\mstender\backend\app\Models\InvoiceItem.php                                                    | PHP            |         20 |          0 |          8 |         28 |
| z:\Projects\mstender\backend\app\Models\InvoiceTax.php                                                     | PHP            |         21 |          0 |          6 |         27 |
| z:\Projects\mstender\backend\app\Models\Lead.php                                                           | PHP            |         49 |          0 |         10 |         59 |
| z:\Projects\mstender\backend\app\Models\LeadActivity.php                                                   | PHP            |         18 |          0 |          4 |         22 |
| z:\Projects\mstender\backend\app\Models\LeadNote.php                                                       | PHP            |          8 |          1 |          4 |         13 |
| z:\Projects\mstender\backend\app\Models\LeadNoteComment.php                                                | PHP            |          8 |          1 |          4 |         13 |
| z:\Projects\mstender\backend\app\Models\Notification.php                                                   | PHP            |         40 |          0 |          9 |         49 |
| z:\Projects\mstender\backend\app\Models\Pipeline.php                                                       | PHP            |         19 |          0 |          5 |         24 |
| z:\Projects\mstender\backend\app\Models\PipelineStage.php                                                  | PHP            |         15 |          0 |          4 |         19 |
| z:\Projects\mstender\backend\app\Models\Setting.php                                                        | PHP            |         35 |          0 |         10 |         45 |
| z:\Projects\mstender\backend\app\Models\Tax.php                                                            | PHP            |         35 |          0 |          9 |         44 |
| z:\Projects\mstender\backend\app\Models\Transaction.php                                                    | PHP            |         35 |          0 |          8 |         43 |
| z:\Projects\mstender\backend\app\Models\User.php                                                           | PHP            |         73 |          2 |         14 |         89 |
| z:\Projects\mstender\backend\app\Providers\AppServiceProvider.php                                          | PHP            |         12 |          8 |          5 |         25 |
| z:\Projects\mstender\backend\bootstrap\app.php                                                             | PHP            |         19 |          1 |          3 |         23 |
| z:\Projects\mstender\backend\bootstrap\providers.php                                                       | PHP            |          5 |          0 |          3 |          8 |
| z:\Projects\mstender\backend\composer.json                                                                 | JSON           |         89 |          0 |          1 |         90 |
| z:\Projects\mstender\backend\composer.lock                                                                 | JSON           |      9,583 |          0 |          1 |      9,584 |
| z:\Projects\mstender\backend\config\app.php                                                                | PHP            |         22 |         82 |         23 |        127 |
| z:\Projects\mstender\backend\config\auth.php                                                               | PHP            |         29 |         74 |         15 |        118 |
| z:\Projects\mstender\backend\config\cache.php                                                              | PHP            |         64 |         35 |         19 |        118 |
| z:\Projects\mstender\backend\config\cors.php                                                               | PHP            |         13 |         12 |         12 |         37 |
| z:\Projects\mstender\backend\config\database.php                                                           | PHP            |        119 |         43 |         23 |        185 |
| z:\Projects\mstender\backend\config\filesystems.php                                                        | PHP            |         36 |         32 |         13 |         81 |
| z:\Projects\mstender\backend\config\logging.php                                                            | PHP            |         79 |         33 |         21 |        133 |
| z:\Projects\mstender\backend\config\mail.php                                                               | PHP            |         57 |         43 |         19 |        119 |
| z:\Projects\mstender\backend\config\queue.php                                                              | PHP            |         65 |         45 |         20 |        130 |
| z:\Projects\mstender\backend\config\sanctum.php                                                            | PHP            |         20 |         54 |         14 |         88 |
| z:\Projects\mstender\backend\config\services.php                                                           | PHP            |         20 |         11 |          8 |         39 |
| z:\Projects\mstender\backend\config\session.php                                                            | PHP            |         23 |        160 |         35 |        218 |
| z:\Projects\mstender\backend\database\factories\BankFactory copy 2.php                                     | PHP            |         24 |          0 |          6 |         30 |
| z:\Projects\mstender\backend\database\factories\BankFactory copy.php                                       | PHP            |         24 |          0 |          6 |         30 |
| z:\Projects\mstender\backend\database\factories\BankFactory.php                                            | PHP            |         24 |          0 |          6 |         30 |
| z:\Projects\mstender\backend\database\factories\CustomerFactory.php                                        | PHP            |         28 |          1 |          7 |         36 |
| z:\Projects\mstender\backend\database\factories\InvoiceFactory.php                                         | PHP            |         25 |          3 |          5 |         33 |
| z:\Projects\mstender\backend\database\factories\InvoiceItemFactory copy.php                                | PHP            |         11 |          9 |          4 |         24 |
| z:\Projects\mstender\backend\database\factories\InvoiceItemFactory.php                                     | PHP            |         11 |          9 |          4 |         24 |
| z:\Projects\mstender\backend\database\factories\LeadActivityFactory.php                                    | PHP            |         16 |          8 |          4 |         28 |
| z:\Projects\mstender\backend\database\factories\LeadFactory.php                                            | PHP            |         20 |          0 |          5 |         25 |
| z:\Projects\mstender\backend\database\factories\LeadNoteCommentFactory.php                                 | PHP            |         12 |          9 |          4 |         25 |
| z:\Projects\mstender\backend\database\factories\LeadNoteFactory.php                                        | PHP            |         12 |          9 |          4 |         25 |
| z:\Projects\mstender\backend\database\factories\PipelineFactory.php                                        | PHP            |         15 |          8 |          4 |         27 |
| z:\Projects\mstender\backend\database\factories\PipelineStageFactory.php                                   | PHP            |         16 |          8 |          4 |         28 |
| z:\Projects\mstender\backend\database\factories\SettingFactory copy.php                                    | PHP            |         23 |          0 |          5 |         28 |
| z:\Projects\mstender\backend\database\factories\SettingFactory.php                                         | PHP            |         23 |          0 |          5 |         28 |
| z:\Projects\mstender\backend\database\factories\TaxFactory copy.php                                        | PHP            |         22 |          0 |          5 |         27 |
| z:\Projects\mstender\backend\database\factories\TaxFactory.php                                             | PHP            |         22 |          0 |          5 |         27 |
| z:\Projects\mstender\backend\database\factories\TransactionFactory.php                                     | PHP            |         28 |          0 |          5 |         33 |
| z:\Projects\mstender\backend\database\factories\UserFactory.php                                            | PHP            |         37 |          3 |          7 |         47 |
| z:\Projects\mstender\backend\database\migrations\0001_01_01_000000_create_users_table.php                  | PHP            |         58 |          7 |         17 |         82 |
| z:\Projects\mstender\backend\database\migrations\0001_01_01_000001_create_cache_table.php                  | PHP            |         25 |          6 |          5 |         36 |
| z:\Projects\mstender\backend\database\migrations\0001_01_01_000002_create_jobs_table.php                   | PHP            |         46 |          6 |          6 |         58 |
| z:\Projects\mstender\backend\database\migrations\2025_10_07_045950_create_settings_table.php               | PHP            |         23 |          0 |          8 |         31 |
| z:\Projects\mstender\backend\database\migrations\2025_10_07_050743_create_notifications_table.php          | PHP            |         28 |          0 |          7 |         35 |
| z:\Projects\mstender\backend\database\migrations\2025_10_07_052156_create_taxes_table.php                  | PHP            |         26 |          0 |          6 |         32 |
| z:\Projects\mstender\backend\database\migrations\2025_10_07_072930_create_banks_table.php                  | PHP            |         31 |          5 |          8 |         44 |
| z:\Projects\mstender\backend\database\migrations\2025_11_30_070221_create_customers_table.php              | PHP            |         40 |          5 |         10 |         55 |
| z:\Projects\mstender\backend\database\migrations\2025_12_05_063158_create_invoices_table.php               | PHP            |         54 |          7 |         12 |         73 |
| z:\Projects\mstender\backend\database\migrations\2025_12_05_063744_create_invoice_items_table.php          | PHP            |         26 |          3 |          8 |         37 |
| z:\Projects\mstender\backend\database\migrations\2026_01_29_070235_create_invoice_taxes_table.php          | PHP            |         28 |          6 |         11 |         45 |
| z:\Projects\mstender\backend\database\migrations\2026_02_11_082657_create_transactions_table.php           | PHP            |         38 |          7 |         13 |         58 |
| z:\Projects\mstender\backend\database\migrations\2026_05_04_053545_create_pipelines_table.php              | PHP            |         23 |          6 |          7 |         36 |
| z:\Projects\mstender\backend\database\migrations\2026_05_04_053547_create_pipeline_stages_table.php        | PHP            |         23 |          6 |          7 |         36 |
| z:\Projects\mstender\backend\database\migrations\2026_05_04_136114_create_leads_table.php                  | PHP            |         42 |         13 |         11 |         66 |
| z:\Projects\mstender\backend\database\migrations\2026_05_04_153552_create_lead_activities_table.php        | PHP            |         26 |          6 |          9 |         41 |
| z:\Projects\mstender\backend\database\migrations\2026_05_08_144823_create_personal_access_tokens_table.php | PHP            |         24 |          6 |          4 |         34 |
| z:\Projects\mstender\backend\database\migrations\2026_05_12_055529_create_lead_notes_table.php             | PHP            |         27 |          6 |          9 |         42 |
| z:\Projects\mstender\backend\database\migrations\2026_05_12_055535_create_lead_note_comments_table.php     | PHP            |         26 |          6 |          8 |         40 |
| z:\Projects\mstender\backend\database\seeders\DatabaseSeeder.php                                           | PHP            |         52 |          6 |         12 |         70 |
| z:\Projects\mstender\backend\package.json                                                                  | JSON           |         17 |          0 |          1 |         18 |
| z:\Projects\mstender\backend\phpunit.xml                                                                   | XML            |         36 |          0 |          1 |         37 |
| z:\Projects\mstender\backend\public\index.php                                                              | PHP            |         10 |          4 |          7 |         21 |
| z:\Projects\mstender\backend\resources\css\app.css                                                         | CSS            |          9 |          0 |          3 |         12 |
| z:\Projects\mstender\backend\resources\js\app.js                                                           | JavaScript     |          1 |          0 |          1 |          2 |
| z:\Projects\mstender\backend\resources\js\bootstrap.js                                                     | JavaScript     |          3 |          0 |          2 |          5 |
| z:\Projects\mstender\backend\resources\views\welcome.blade.php                                             | PHP            |        270 |          0 |          8 |        278 |
| z:\Projects\mstender\backend\routes\api.php                                                                | PHP            |        171 |         85 |         43 |        299 |
| z:\Projects\mstender\backend\routes\console.php                                                            | PHP            |          6 |          0 |          3 |          9 |
| z:\Projects\mstender\backend\routes\web.php                                                                | PHP            |          5 |          0 |          3 |          8 |
| z:\Projects\mstender\backend\tests\Feature\ExampleTest.php                                                 | PHP            |         11 |          4 |          5 |         20 |
| z:\Projects\mstender\backend\tests\TestCase.php                                                            | PHP            |          6 |          1 |          4 |         11 |
| z:\Projects\mstender\backend\tests\Unit\ExampleTest.php                                                    | PHP            |         10 |          3 |          4 |         17 |
| z:\Projects\mstender\backend\vendor\brick\math\tools\ecs\composer.json                                     | JSON           |         10 |          0 |          1 |         11 |
| z:\Projects\mstender\backend\vendor\brick\math\tools\ecs\ecs.php                                           | PHP            |         24 |          2 |          8 |         34 |
| z:\Projects\mstender\backend\vite.config.js                                                                | JavaScript     |         17 |          0 |          2 |         19 |
| z:\Projects\mstender\frontend\README.md                                                                    | Markdown       |         38 |          0 |         33 |         71 |
| z:\Projects\mstender\frontend\package-lock.json                                                            | JSON           |     18,919 |          0 |          1 |     18,920 |
| z:\Projects\mstender\frontend\package.json                                                                 | JSON           |         63 |          0 |          1 |         64 |
| z:\Projects\mstender\frontend\public\index.html                                                            | Django HTML    |         40 |          0 |          4 |         44 |
| z:\Projects\mstender\frontend\public\manifest.json                                                         | JSON           |         25 |          0 |          1 |         26 |
| z:\Projects\mstender\frontend\src\App.css                                                                  | CSS            |         33 |          0 |          6 |         39 |
| z:\Projects\mstender\frontend\src\App.js                                                                   | JavaScript     |        104 |         18 |         31 |        153 |
| z:\Projects\mstender\frontend\src\App.test.js                                                              | JavaScript     |          7 |          0 |          2 |          9 |
| z:\Projects\mstender\frontend\src\assets\SVG\Delete.jsx                                                    | JavaScript JSX |         14 |          0 |          1 |         15 |
| z:\Projects\mstender\frontend\src\assets\SVG\DragIcon.jsx                                                  | JavaScript JSX |         18 |          0 |          1 |         19 |
| z:\Projects\mstender\frontend\src\assets\SVG\Edit.jsx                                                      | JavaScript JSX |         14 |          0 |          1 |         15 |
| z:\Projects\mstender\frontend\src\assets\SVG\Eye.jsx                                                       | JavaScript JSX |         14 |          0 |          1 |         15 |
| z:\Projects\mstender\frontend\src\assets\SVG\EyeSlash.jsx                                                  | JavaScript JSX |         15 |          0 |          1 |         16 |
| z:\Projects\mstender\frontend\src\assets\SVG\Loading.jsx                                                   | JavaScript JSX |         20 |          0 |          1 |         21 |
| z:\Projects\mstender\frontend\src\common\NotificationToast.jsx                                             | JavaScript JSX |         22 |          2 |          3 |         27 |
| z:\Projects\mstender\frontend\src\common\UI\CardUI.jsx                                                     | JavaScript JSX |          5 |          0 |          1 |          6 |
| z:\Projects\mstender\frontend\src\components\elements\Button.jsx                                           | JavaScript JSX |         91 |          4 |          7 |        102 |
| z:\Projects\mstender\frontend\src\components\elements\Input.jsx                                            | JavaScript JSX |         49 |          0 |          7 |         56 |
| z:\Projects\mstender\frontend\src\components\elements\Select.jsx                                           | JavaScript JSX |         41 |          0 |          5 |         46 |
| z:\Projects\mstender\frontend\src\components\elements\SelectSearch.jsx                                     | JavaScript JSX |        197 |         22 |         33 |        252 |
| z:\Projects\mstender\frontend\src\components\elements\SelectSearchJson.jsx                                 | JavaScript JSX |        102 |         14 |         17 |        133 |
| z:\Projects\mstender\frontend\src\components\elements\Switch.jsx                                           | JavaScript JSX |         72 |          0 |          6 |         78 |
| z:\Projects\mstender\frontend\src\components\elements\Textarea.jsx                                         | JavaScript JSX |         65 |          0 |          7 |         72 |
| z:\Projects\mstender\frontend\src\components\elements\index.jsx                                            | JavaScript JSX |         10 |          0 |          2 |         12 |
| z:\Projects\mstender\frontend\src\components\layout\AdminLayout.jsx                                        | JavaScript JSX |         20 |          0 |          3 |         23 |
| z:\Projects\mstender\frontend\src\components\layout\Header.jsx                                             | JavaScript JSX |          0 |          0 |          1 |          1 |
| z:\Projects\mstender\frontend\src\components\layout\Sidebar.jsx                                            | JavaScript JSX |        225 |         57 |         43 |        325 |
| z:\Projects\mstender\frontend\src\components\layout\Topbar.jsx                                             | JavaScript JSX |         46 |          7 |         17 |         70 |
| z:\Projects\mstender\frontend\src\components\notifications\Notification.jsx                                | JavaScript JSX |         16 |          1 |          3 |         20 |
| z:\Projects\mstender\frontend\src\components\tables\AddButton.jsx                                          | JavaScript JSX |         12 |          0 |          3 |         15 |
| z:\Projects\mstender\frontend\src\components\tables\AddPaymentButton.jsx                                   | JavaScript JSX |         14 |          0 |          3 |         17 |
| z:\Projects\mstender\frontend\src\components\tables\BadgeButton.jsx                                        | JavaScript JSX |         60 |          9 |         11 |         80 |
| z:\Projects\mstender\frontend\src\components\tables\BulkAction.jsx                                         | JavaScript JSX |         49 |         12 |          5 |         66 |
| z:\Projects\mstender\frontend\src\components\tables\CallButton.jsx                                         | JavaScript JSX |         14 |          0 |          1 |         15 |
| z:\Projects\mstender\frontend\src\components\tables\CloseButton.jsx                                        | JavaScript JSX |         12 |          0 |          2 |         14 |
| z:\Projects\mstender\frontend\src\components\tables\ConfirmDialog.jsx                                      | JavaScript JSX |         70 |          6 |         10 |         86 |
| z:\Projects\mstender\frontend\src\components\tables\CopyButton.jsx                                         | JavaScript JSX |         14 |          1 |          3 |         18 |
| z:\Projects\mstender\frontend\src\components\tables\CopyLinkButton.jsx                                     | JavaScript JSX |         28 |          2 |          5 |         35 |
| z:\Projects\mstender\frontend\src\components\tables\CreateGroup.jsx                                        | JavaScript JSX |         14 |          0 |          2 |         16 |
| z:\Projects\mstender\frontend\src\components\tables\CreateInvoiceButton.jsx                                | JavaScript JSX |         14 |          0 |          2 |         16 |
| z:\Projects\mstender\frontend\src\components\tables\CustomersButton.jsx                                    | JavaScript JSX |         14 |          0 |          2 |         16 |
| z:\Projects\mstender\frontend\src\components\tables\CustomersList.jsx                                      | JavaScript JSX |         14 |          0 |          2 |         16 |
| z:\Projects\mstender\frontend\src\components\tables\DeleteButton.jsx                                       | JavaScript JSX |         12 |          0 |          2 |         14 |
| z:\Projects\mstender\frontend\src\components\tables\DetailsButton.jsx                                      | JavaScript JSX |         14 |          0 |          3 |         17 |
| z:\Projects\mstender\frontend\src\components\tables\Dropdown.jsx                                           | JavaScript JSX |         34 |          0 |          4 |         38 |
| z:\Projects\mstender\frontend\src\components\tables\EditButton.jsx                                         | JavaScript JSX |         14 |          0 |          2 |         16 |
| z:\Projects\mstender\frontend\src\components\tables\EmailButton.jsx                                        | JavaScript JSX |         14 |          0 |          2 |         16 |
| z:\Projects\mstender\frontend\src\components\tables\Export.jsx                                             | JavaScript JSX |         35 |          0 |          2 |         37 |
| z:\Projects\mstender\frontend\src\components\tables\ExportDropdown.jsx                                     | JavaScript JSX |         74 |          2 |         10 |         86 |
| z:\Projects\mstender\frontend\src\components\tables\FilterButton.jsx                                       | JavaScript JSX |         11 |          0 |          2 |         13 |
| z:\Projects\mstender\frontend\src\components\tables\IconButton.jsx                                         | JavaScript JSX |         16 |          0 |          1 |         17 |
| z:\Projects\mstender\frontend\src\components\tables\ImagePreviewButton.jsx                                 | JavaScript JSX |         60 |          4 |          9 |         73 |
| z:\Projects\mstender\frontend\src\components\tables\Pagination.jsx                                         | JavaScript JSX |         61 |          0 |          4 |         65 |
| z:\Projects\mstender\frontend\src\components\tables\SeeInvoiceButton.jsx                                   | JavaScript JSX |         14 |          1 |          2 |         17 |
| z:\Projects\mstender\frontend\src\components\tables\SeePaymentButton.jsx                                   | JavaScript JSX |         14 |          0 |          2 |         16 |
| z:\Projects\mstender\frontend\src\components\tables\SelectOption.jsx                                       | JavaScript JSX |         26 |          0 |          3 |         29 |
| z:\Projects\mstender\frontend\src\components\tables\WhatsappButton.jsx                                     | JavaScript JSX |         14 |          0 |          1 |         15 |
| z:\Projects\mstender\frontend\src\components\widgets\NotificationWidgets.jsx                               | JavaScript JSX |        227 |         12 |         67 |        306 |
| z:\Projects\mstender\frontend\src\components\widgets\ProfileWidgets.jsx                                    | JavaScript JSX |        115 |          0 |         13 |        128 |
| z:\Projects\mstender\frontend\src\components\widgets\ThemeWidget.jsx                                       | JavaScript JSX |        114 |          0 |         24 |        138 |
| z:\Projects\mstender\frontend\src\components\widgets\TimeWidget.jsx                                        | JavaScript JSX |         25 |          1 |          7 |         33 |
| z:\Projects\mstender\frontend\src\context\SettingsContext.jsx                                              | JavaScript JSX |         81 |          0 |         12 |         93 |
| z:\Projects\mstender\frontend\src\data\SidebarMenu copy.json                                               | JSON           |        111 |          0 |          3 |        114 |
| z:\Projects\mstender\frontend\src\data\SidebarMenu.json                                                    | JSON           |         90 |          0 |         10 |        100 |
| z:\Projects\mstender\frontend\src\data\env.js                                                              | JavaScript     |         17 |          7 |          9 |         33 |
| z:\Projects\mstender\frontend\src\data\toastCfg.jsx                                                        | JavaScript JSX |         11 |          0 |          2 |         13 |
| z:\Projects\mstender\frontend\src\database\Axios.jsx                                                       | JavaScript JSX |         12 |          1 |          2 |         15 |
